  PID USER         NAME                       
  365 root         [ext4-dio-unwrit]
  366 root         [ext4-dio-unwrit]
  367 root         [loop33]
  368 root         [loop35]
  369 root         [ext4-dio-unwrit]
  370 root         [ext4-dio-unwrit]
  371 root         [ext4-dio-unwrit]
  372 root         [ext4-dio-unwrit]
  373 root         [ext4-dio-unwrit]
  374 root         [ext4-dio-unwrit]
  375 root         [ext4-dio-unwrit]
  376 root         [ext4-dio-unwrit]
  377 root         [ext4-dio-unwrit]
  378 root         [ext4-dio-unwrit]
  379 root         [ext4-dio-unwrit]
  380 root         [ext4-dio-unwrit]
  381 root         [ext4-dio-unwrit]
  382 root         [ext4-dio-unwrit]
  383 root         [ext4-dio-unwrit]
  384 root         [ext4-dio-unwrit]
  388 prng_seeder  prng_seeder
  390 logd         logd
  391 lmkd         lmkd
  392 system       servicemanager
  393 system       hwservicemanager
  394 system       vndservicemanager
  396 root         [psimon]
  399 root         vold
  410 root         [f2fs_flush-259:]
  411 root         [f2fs_discard-25]
  420 root         [f2fs_gc-259:6]
  424 root         [jbd2/mmcblk0p26]
  425 root         [ext4-dio-unwrit]
  426 root         [jbd2/mmcblk0p27]
  427 root         [ext4-dio-unwrit]
  431 system       android.system.suspend-service
  432 keystore     keystore2
  433 nobody       android.hardware.keymaster@3.0-service
  438 tombstoned   tombstoned
  450 root         [kworker/1:1H]
  604 root         [kworker/2:1H]
 1471 root         [kworker/3:1H]
 2036 root         netd
 2037 statsd       statsd
 2038 root         zygote
 2083 root         [IPCRTR]
 2084 root         [kworker/0:2]
 2085 root         [modem_IPCRTR]
 2088 root         [kworker/u8:5]
 2089 root         [irq/321-mbhc sw]
 2090 root         [irq/319-Button ]
 2091 root         [irq/318-Button ]
 2092 root         [irq/317-Elect I]
 2093 root         [irq/320-Elect R]
 2094 root         [irq/324-HPH_L O]
 2095 root         [irq/323-HPH_R O]
 2101 camera       mm-qcamera-daemon
 2102 system       android.hidl.allocator@1.0-service
 2103 audioserver  android.hardware.audio.service
 2104 bluetooth    android.hardware.bluetooth@1.0-service-qti
 2106 media        android.hardware.cas@1.2-service
 2111 media        android.hardware.drm-service.clearkey
 2113 media        android.hardware.drm@1.0-service
 2114 media        android.hardware.drm@1.1-service.widevine
 2115 system       android.hardware.gatekeeper@1.0-service.software
 2116 gps          android.hardware.gnss@1.0-service
 2117 system       android.hardware.graphics.allocator@2.0-service
 2118 system       android.hardware.graphics.composer@2.1-service
 2119 system       android.hardware.health-service.example
 2120 system       android.hardware.light-service.oppo_msm8916
 2121 system       android.hardware.power@1.0-service
 2122 system       android.hardware.radio.config@1.1-service.msm8916
 2124 system       android.hardware.radio@1.5-service.msm8916
 2125 system       android.hardware.radio@1.5-service.msm8916
 2127 system       android.hardware.thermal@2.0-service.msm8916
 2129 system       android.hardware.usb@1.0-service.cyanogen_8916
 2130 system       android.hardware.vibrator-service.msm8916
 2135 wifi         android.hardware.wifi-service
 2139 nobody       vendor.qti.hardware.memtrack-service
 2140 system       vendor.lineage.health-service.default
 2141 system       vendor.lineage.livedisplay-service.sysfs
 2142 root         vendor.qti.hardware.perf@1.0-service
 2143 nobody       rmt_storage
 2146 system       qseecomd
 2147 audioserver  audioserver
 2149 credstore    credstore
 2150 gpu_service  gpuservice
 2158 system       surfaceflinger
 2161 system       qseecomd
 2239 root         [kworker/0:3]
 2259 drm          drmserver
 2268 nobody       traced_probes
 2269 nobody       traced
 2272 radio        qmuxd
 2273 radio        netmgrd
 2276 radio        rild
 2278 system       vm_bms
 2279 cameraserver cameraserver
 2281 incidentd    incidentd
 2283 root         installd
 2288 mediaex      media.extractor
 2290 root         [kworker/3:2]
 2291 media        media.metrics
 2294 media        mediaserver
 2297 root         storaged
 2298 root         adb_root
 2300 wifi         wificond
 2304 mediacodec   media.codec
 2307 radio        rild
 2311 mediacodec   media.swcodec
 2312 system       wcnss_service
 2313 system       gatekeeperd
 2329 root         [IPCRTR]
 2330 root         [wcnss_IPCRTR]
 2774 cameraserver android.hardware.camera.provider-service.lineage
 3183 system       system_server
 3213 root         [kworker/0:4]
 3214 root         [kworker/0:5]
 3215 root         [kworker/0:6]
 3216 root         [kworker/0:7]
 3217 root         [kworker/0:8]
 3218 root         [sh]
 5896 root         [VosWDThread]
 5899 root         [VosMCThread]
 5900 root         [VosTXThread]
 5901 root         [VosRXThread]
 5908 root         [wlan_logging_th]
 5917 wifi         wpa_supplicant
 5949 root         iptables-restore
 5950 root         ip6tables-restore
 5970 u0_a118      com.android.systemui
 6007 u0_a150      com.android.permissioncontroller
 6177 network_stack com.android.networkstack.process
 6290 secure_element com.android.se
 6292 radio        com.android.phone
 6397 u0_a124      com.android.launcher3
 6577 u0_a148      com.android.cellbroadcastreceiver.module
 6591 u0_a130      com.android.smspush
 6601 u0_a69       com.android.cellbroadcastreceiver
 6777 u0_a99       com.android.inputmethod.latin
 6794 shell        adbd
 6834 nobody       pmgd
 6967 u0_a134      com.android.devicelockcontroller
 7012 u0_a144      com.android.providers.media.module
 7046 u0_a126      org.lineageos.audiofx
 7070 system       com.android.DeviceAsWebcam
 7073 u0_a78       com.android.printspooler
 7100 system       com.android.keychain
 7119 u0_a55       android.process.media
 7266 u0_a131      org.lineageos.settingsconfig
 7285 system       org.lineageos.setupwizard
 7310 u0_a123      org.protonaosp.deviceconfig
 7332 u0_a92       com.sony.timekeep
 7343 system       com.android.localtransport
 7363 u0_a125      com.android.carrierconfig
 7379 u0_a106      org.lineageos.etar
 7394 u0_a56       android.process.acore
 7408 u0_a121      com.stevesoltys.seedvault
 7436 u0_a67       com.android.providers.calendar
 7454 u0_a54       com.android.documentsui
 7486 u0_a66       com.android.externalstorage
 7504 u0_a145      com.android.photopicker
 7535 u0_a72       com.android.managedprovisioning
 7573 u0_a95       com.android.imsserviceentitlement
 7651 u0_a96       com.android.statementservice
 7675 u0_a79       com.android.traceur
 7691 system       org.lineageos.lineageparts
 7731 u0_a140      .adservices
 7747 u0_a140      android.ext.services
 7761 u0_a71       com.android.devicediagnostics
 7786 system       com.android.dynsystem
 7800 system       com.android.dynsystem:dynsystem
 7811 u0_a94       com.android.dialer
 7812 u0_a137      com.android.federatedcompute.services
 7876 u0_a136      com.android.ondevicepersonalization.services
 7889 u0_a73       com.android.packageinstaller
 7900 u0_a147      com.android.rkpdapp
 7915 shell        com.android.shell
 7931 radio        com.qualcomm.qcrilmsgtunnel
 7949 u0_a133      org.calyxos.backup.contacts
 7964 u0_a129      org.lineageos.profiles
 7977 u0_a122      org.lineageos.updater
 8108 root         [mdss_fb0]
 8111 root         [irq/13-synaptic]
 8126 shell        ps
